NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,V_numerico,variavel_padronizada
6,Município,1006,Hectares,6376,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2023,2023,40106,Cana-de-açúcar,6376,area_plantada_ha
6,Município,1006,Hectares,6376,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2024,2024,40106,Cana-de-açúcar,6376,area_plantada_ha
6,Município,1006,Hectares,-,3500204,Adolfo (SP),216,Área colhida,2000,2000,40106,Cana-de-açúcar,,area_colhida_ha
6,Município,1006,Hectares,8000,3500204,Adolfo (SP),216,Área colhida,2001,2001,40106,Cana-de-açúcar,8000,area_colhida_ha
6,Município,1006,Hectares,-,3500204,Adolfo (SP),216,Área colhida,2002,2002,40106,Cana-de-açúcar,,area_colhida_ha
6,Município,1006,Hectares,-,3500204,Adolfo (SP),216,Área colhida,2003,2003,40106,Cana-de-açúcar,,area_colhida_ha
6,Município,1006,Hectares,968,3500204,Adolfo (SP),216,Área colhida,2004,2004,40106,Cana-de-açúcar,968,area_colhida_ha
6,Município,1006,Hectares,1104,3500204,Adolfo (SP),216,Área colhida,2005,2005,40106,Cana-de-açúcar,1104,area_colhida_ha
6,Município,1006,Hectares,1114,3500204,Adolfo (SP),216,Área colhida,2006,2006,40106,Cana-de-açúcar,1114,area_colhida_ha
6,Município,1006,Hectares,3418,3500204,Adolfo (SP),216,Área colhida,2007,2007,40106,Cana-de-açúcar,3418,area_colhida_ha
6,Município,1006,Hectares,4954,3500204,Adolfo (SP),216,Área colhida,2008,2008,40106,Cana-de-açúcar,4954,area_colhida_ha
6,Município,1006,Hectares,4384,3500204,Adolfo (SP),216,Área colhida,2009,2009,40106,Cana-de-açúcar,4384,area_colhida_ha
6,Município,1006,Hectares,4461,3500204,Adolfo (SP),216,Área colhida,2010,2010,40106,Cana-de-açúcar,4461,area_colhida_ha
6,Município,1006,Hectares,4461,3500204,Adolfo (SP),216,Área colhida,2011,2011,40106,Cana-de-açúcar,4461,area_colhida_ha
6,Município,1006,Hectares,4461,3500204,Adolfo (SP),216,Área colhida,2012,2012,40106,Cana-de-açúcar,4461,area_colhida_ha
6,Município,1006,Hectares,4461,3500204,Adolfo (SP),216,Área colhida,2013,2013,40106,Cana-de-açúcar,4461,area_colhida_ha
6,Município,1006,Hectares,6209,3500204,Adolfo (SP),216,Área colhida,2014,2014,40106,Cana-de-açúcar,6209,area_colhida_ha
6,Município,1006,Hectares,6309,3500204,Adolfo (SP),216,Área colhida,2015,2015,40106,Cana-de-açúcar,6309,area_colhida_ha
6,Município,1006,Hectares,5809,3500204,Adolfo (SP),216,Área colhida,2016,2016,40106,Cana-de-açúcar,5809,area_colhida_ha
6,Município,1006,Hectares,7320,3500204,Adolfo (SP),216,Área colhida,2017,2017,40106,Cana-de-açúcar,7320,area_colhida_ha
6,Município,1006,Hectares,7266,3500204,Adolfo (SP),216,Área colhida,2018,2018,40106,Cana-de-açúcar,7266,area_colhida_ha
6,Município,1006,Hectares,7016,3500204,Adolfo (SP),216,Área colhida,2019,2019,40106,Cana-de-açúcar,7016,area_colhida_ha
6,Município,1006,Hectares,5015,3500204,Adolfo (SP),216,Área colhida,2020,2020,40106,Cana-de-açúcar,5015,area_colhida_ha
6,Município,1006,Hectares,5015,3500204,Adolfo (SP),216,Área colhida,2021,2021,40106,Cana-de-açúcar,5015,area_colhida_ha
6,Município,1006,Hectares,6376,3500204,Adolfo (SP),216,Área colhida,2022,2022,40106,Cana-de-açúcar,6376,area_colhida_ha
6,Município,1006,Hectares,6376,3500204,Adolfo (SP),216,Área colhida,2023,2023,40106,Cana-de-açúcar,6376,area_colhida_ha
